,Ticker,Average Daily Return,Standard Deviation of Daily Return,Annual Return 01,Annual Return 02,Win Rate,Num Trades,Num Winners,Num Losers,Sortino Ratio,Sharpe_ratio,Cumulative Returns,Annual Volatility,Max Drawdown,Calmar Ratio,Stability,Omega Ratio,Skew,Kurtosis,Tail Ratio,Daily Value at Risk (5%)
0,AAPL,0.0011835941609821485,0.00502139802592535,485.46769880728465,0.2982657285675014,145.86346357126044,1.9264591222511296,281,197,32225.96838523418,3.741781615819834,2.4119704248915057,0.33105121497397155,-0.35937621491573746,6.711547188667001,1.3606338885320226,9.47744431935444,-0.05213121666555495,4.644714704754384,-0.9759328193115359,-0.03226013398053107
1,AMZN,0.0006228647157835638,0.00502139802592535,313.13170865004247,0.15696190837745808,163.36895493765596,1.2425861454366764,203,148,19519.002210017185,1.9691071648476446,0.5681309107823362,0.3683537707642359,-0.5614526325328263,1.0118946423305255,1.1526283472352645,7.189896623299676,0.10683893811728691,3.722168801685318,-1.0098538615412855,-0.03583367668825432
2,GOOGL,0.0008667911862160803,0.00502139802592535,373.07690307545386,0.21843137892645223,158.73402912863492,1.480463901093071,235,154,25438.709546094007,2.7402495147886365,1.312869526727594,0.3228163173828464,-0.4432005141440536,2.962247300780142,1.3333412945402459,22.664661935633482,-0.06330519494180821,3.6150324770871523,-1.005339135432499,-0.030780081525133174
3,META,0.0009483870270555754,0.00502139802592535,331.0791732249709,0.238993530818005,162.8855100570023,1.3138062429562336,214,179,15307.401082440485,2.9982043334633364,1.0249478013657893,0.44153828847261034,-0.7673609153644645,1.3356789234945357,1.091182641980768,3.606618169049638,-0.5197924758708112,17.165852010455268,-0.9624108005750134,-0.040101059625557434
4,NVDA,0.002153912288347574,0.00502139802592535,754.997173435233,0.5427858966635887,85.78045359471236,2.996020529504893,257,181,33187.17209935036,6.809318318991722,6.457997435275367,0.5373958133520533,-0.6633509006834131,9.735416698194056,0.9104478805086097,6.840094051530092,0.13943668142910215,4.554855687162753,-0.9784067449615315,-0.051627929906520376
5,MSFT,0.0011604267300345304,0.00502139802592535,397.21312605996116,0.2924275359687017,196.67023790197564,1.5762425637300046,310,208,28360.621313190175,3.668540744866534,2.4167904322383893,0.31215834845905005,-0.37148482243060904,6.505758206823726,1.6457425905613494,39.23726682459207,0.023100569296254373,6.366826942177411,-0.9795098521487862,-0.029626023172684313
6,IBM,0.00040550574112357816,0.00502139802592535,197.93479777534014,0.10218744676314169,255.90245156130155,0.7854555467275403,201,139,14476.600065472207,1.2819545561009966,0.3924960605709049,0.2695054822774466,-0.38980107702259,1.0069137406415087,0.6463135453949952,1.3293421234130758,-0.4803474312403711,9.024222983087078,-1.0537518529892147,-0.02473715828424461
7,INTC,0.00028093623356944164,0.00502139802592535,252.93948046757046,0.0707959308594993,143.46514799872259,1.0037280970935336,144,103,13696.054498146581,0.8881439843497659,-0.02636159524590942,0.3890428105694705,-0.6162617315277824,-0.042776622167591115,0.5304918048773215,0.6621709430152024,-0.18381211612884177,9.136564457838965,-1.0012326954003712,-0.035102050881122504
8,CRM,0.0006054630765568346,0.00502139802592535,270.6929566850716,0.15257669529232232,188.0507000380601,1.074178399543935,202,157,15848.905595073973,1.914094107255612,0.46607964131364765,0.39353031006846023,-0.586172384150905,0.7951238473794416,1.2192468518003743,6.238375568965199,0.7337174358099997,12.448637722669458,-1.0178258165373737,-0.03765251892476479
9,CSCO,0.0004130460583216448,0.00502139802592535,280.6366226092628,0.10408760669705448,219.10183862785163,1.1136373913065984,244,162,19804.729132921595,1.3057923048828626,0.3742547268995806,0.2856963351134148,-0.4195111461882373,0.892121056377487,1.216930874543863,3.23879356976708,-0.4052443814257656,10.443024892330605,-1.0204852126482706,-0.02646354413423635
10,DELL,0.001104382459131588,0.00502139802592535,438.27873224017446,0.2783043797011602,121.89503179160408,1.7392013184133908,212,154,22814.488427455675,3.4913639477432348,1.7166270697254653,0.3994443829140157,-0.5863896730300211,2.927451059728298,1.0288325656093937,4.602085377522038,-0.05738794571375437,12.036143315085672,-0.9565969259744829,-0.03380360223300166
11,QCOM,0.0009244510564709414,0.00502139802592535,299.3581556966558,0.23296166623067724,124.5865505591657,1.1879291892724435,148,123,17135.97599700265,2.9225338227064497,1.0871017693801948,0.4193966120979183,-0.44288421691221563,2.454595869230693,1.5058794123487986,7.566159137547251,0.6913646462488741,8.379706335623522,-0.939051036896696,-0.03687570084101177
12,T,0.00011035004961986617,0.00502139802592535,135.91532486004718,0.027808212504206276,322.6126269804421,0.5393465272224094,174,126,10413.545368867799,0.34885757346909496,-0.03878004245799371,0.26664786686768394,-0.3942907386456946,-0.09835392682870252,0.5443455182948906,0.9385059480725594,-0.2051151060429395,7.32300780195612,-1.065332296853441,-0.024280288820013873
13,STX,0.0008910699965891326,0.00502139802592535,422.06077825562386,0.22454963914046142,128.967207578414,1.6748443581572374,216,150,24333.026581283724,2.8170038697040733,1.1066286774538936,0.3913437066720359,-0.5699183813582663,1.9417318578434066,1.3303304404444878,10.934740777944507,-0.1448479653787372,3.7686900589538475,-0.9823711572064675,-0.037713141777406256
14,VZ,-3.07967289438982e-05,0.00502139802592535,85.03802950954069,-0.007760775693862346,423.7633469147707,0.3374524980537329,143,100,8873.492293161242,-0.09735992115240155,-0.13761210803424706,0.2080004628110634,-0.4120711441640076,-0.33395230406979515,0.46703661078627573,0.42576832341342036,0.2175692609376027,6.5559836179762545,-1.0445035406699588,-0.020022705216149905
